"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: compute","Param: count","Param: cpu","Param: items","Param: maxConcurrency","Param: parallelism","Param: size","Param: times","Param: work"
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_andThenSingleError","thrpt",1,1,5311.311520,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_andThenSingleNever","thrpt",1,1,5561.721819,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_andThenSingleSubscribeOn","thrpt",1,1,4437.151950,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_andThenSubscribeOn","thrpt",1,1,4151.858203,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_as","thrpt",1,1,5448.481730,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_asNormal","thrpt",1,1,8375.514454,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_complete","thrpt",1,1,6170.796675,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_composeNormal","thrpt",1,1,3376.336426,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatEmpty","thrpt",1,1,6023.305551,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatIterableEmpty","thrpt",1,1,6508.510973,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatIterableIterableThrows","thrpt",1,1,4675.123105,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatIterableIteratorHasNextThrows","thrpt",1,1,6027.072185,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatIterableIteratorNextThrows","thrpt",1,1,5947.596488,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatIterableIteratorNull","thrpt",1,1,6015.591964,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatIterableMany","thrpt",1,1,2831.060788,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatIterableManyOneThrows","thrpt",1,1,3042.070601,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatIterableOneThrows","thrpt",1,1,4096.833280,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatIterableSingle","thrpt",1,1,4321.008335,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatMultipleOneIsNull","thrpt",1,1,2972.771563,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatMultipleOneThrows","thrpt",1,1,3207.995453,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatMultipleSources","thrpt",1,1,2766.011877,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatObservableEmpty","thrpt",1,1,6269.544275,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatObservableError","thrpt",1,1,5673.875518,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatObservableMany","thrpt",1,1,2174.856942,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatObservableManyOneThrows","thrpt",1,1,2741.745748,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatObservablePrefetch","thrpt",1,1,1096.194314,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatObservableSingle","thrpt",1,1,4058.284923,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatObservableSingleThrows","thrpt",1,1,3819.638647,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatSingleSource","thrpt",1,1,6602.730631,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatSingleSourceThrows","thrpt",1,1,5589.458397,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatWithError","thrpt",1,1,2953.514791,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_concatWithNormal","thrpt",1,1,2902.466501,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_createOnSubscribeThrowsNPE","thrpt",1,1,5466.522531,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_createOnSubscribeThrowsRuntimeException","thrpt",1,1,4660.344223,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_defer","thrpt",1,1,4305.085040,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_deferErrorSource","thrpt",1,1,4232.130242,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_deferFunctionThrows","thrpt",1,1,5454.068960,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_deferReturnsNull","thrpt",1,1,5321.877617,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_delayErrorImmediately","thrpt",1,1,3798.155677,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_delayErrorToo","thrpt",1,1,1.830504,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_delayNormal","thrpt",1,1,1.813554,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doAfterTerminateNormal","thrpt",1,1,2529.448780,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doAfterTerminateWithError","thrpt",1,1,4192.110584,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doOnCompleteError","thrpt",1,1,4013.077679,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doOnCompleteNormal","thrpt",1,1,4180.585779,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doOnCompleteThrows","thrpt",1,1,4068.101565,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doOnCompletedError","thrpt",1,1,3718.606734,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doOnCompletedNormal","thrpt",1,1,4096.522174,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doOnCompletedThrows","thrpt",1,1,3878.542685,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doOnDisposeChildCancels","thrpt",1,1,4345.873474,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doOnDisposeErrorDoesntCall","thrpt",1,1,4372.553850,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doOnDisposeNormalDoesntCall","thrpt",1,1,4222.732161,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doOnDisposeThrows","thrpt",1,1,3702.366359,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doOnErrorHasError","thrpt",1,1,3868.067021,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doOnErrorNoError","thrpt",1,1,4437.675093,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doOnErrorThrows","thrpt",1,1,3545.996117,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doOnEventComplete","thrpt",1,1,3506.164042,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doOnEventError","thrpt",1,1,2972.662599,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doOnSubscribeNormal","thrpt",1,1,696.938686,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doOnSubscribeThrows","thrpt",1,1,3699.083143,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doOnTerminateError","thrpt",1,1,4376.763860,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_doOnTerminateNormal","thrpt",1,1,3969.241850,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_errorNormal","thrpt",1,1,5785.867106,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_errorSupplierNormal","thrpt",1,1,6086.196820,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_errorSupplierReturnsNull","thrpt",1,1,5512.772155,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_errorSupplierThrows","thrpt",1,1,5714.926179,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_fromActionNormal","thrpt",1,1,6223.235633,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_fromActionThrows","thrpt",1,1,5912.273650,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_fromCallableNormal","thrpt",1,1,6476.351042,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_fromCallableThrows","thrpt",1,1,5513.745522,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_fromFlowableEmpty","thrpt",1,1,5629.987108,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_fromFlowableError","thrpt",1,1,5116.614986,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_fromFlowableSome","thrpt",1,1,1760.642374,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_fromFutureNormal","thrpt",1,1,1661.652231,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_fromFutureThrows","thrpt",1,1,1434.166212,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_fromObservableEmpty","thrpt",1,1,5793.517510,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_fromObservableError","thrpt",1,1,5429.493177,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_fromObservableSome","thrpt",1,1,1724.880702,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_fromRunnableNormal","thrpt",1,1,6311.999539,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_fromRunnableThrows","thrpt",1,1,5660.346456,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_fromSingleNormal","thrpt",1,1,6076.090600,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_fromSingleThrows","thrpt",1,1,5632.651207,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_hookCreate","thrpt",1,1,2420.775011,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_hookSubscribeStart","thrpt",1,1,1102.956095,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_liftOnCompleteError","thrpt",1,1,3851.736589,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_liftOnErrorComplete","thrpt",1,1,4164.485595,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_liftReturnsNull","thrpt",1,1,5561.096743,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorEmpty","thrpt",1,1,5992.525694,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorIterableEmpty","thrpt",1,1,5467.084380,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorIterableIterableThrows","thrpt",1,1,5900.125680,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorIterableIteratorHasNextThrows","thrpt",1,1,5223.152705,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorIterableIteratorNextThrows","thrpt",1,1,5589.182896,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorIterableIteratorNull","thrpt",1,1,5234.697800,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorIterableMany","thrpt",1,1,2645.720909,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorIterableManyOneThrows","thrpt",1,1,2483.343714,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorIterableOneThrows","thrpt",1,1,4150.790546,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorIterableSingle","thrpt",1,1,3953.583363,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorMultipleOneIsNull","thrpt",1,1,3875.554337,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorMultipleOneThrows","thrpt",1,1,2726.659790,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorMultipleSources","thrpt",1,1,2578.145380,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorObservableEmpty","thrpt",1,1,5817.127751,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorObservableError","thrpt",1,1,5258.456607,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorObservableMany","thrpt",1,1,2249.919364,NaN,"ops/s",,,,,,,,,
