i.r.r.xmapz.ObservableSwitchMapCompletablePerf.observablePlain,5000000
i.r.r.xmapz.ObservableSwitchMapMaybeEmptyPerf.observablePlain ,5000000
i.r.r.xmapz.ObservableSwitchMapCompletablePerf.observablePlain,4600000
i.r.r.xmapz.ObservableSwitchMapCompletablePerf.observablePlain,4594100
i.r.r.xmapz.ObservableSwitchMapCompletablePerf.observablePlain,4590000
i.r.r.xmapz.ObservableSwitchMapMaybeEmptyPerf.observablePlain  10,4498420
i.r.r.xmapz.ObservableSwitchMapCompletablePerf.observablePlain,4462000
i.r.r.xmapz.ObservableSwitchMapMaybeEmptyPerf.observablePlain  1000,4457000
i.r.r.xmapz.ObservableSwitchMapMaybeEmptyPerf.observablePlain ,4451200
i.r.r.xmapz.ObservableSwitchMapMaybeEmptyPerf.observablePlain ,4420000
i.r.r.xmapz.ObservableSwitchMapMaybeEmptyPerf.observablePlain  100000,4400000
i.r.r.xmapz.FlowableSwitchMapSinglePerf.flowableConvert ,4300000
i.r.r.xmapz.ObservableSwitchMapCompletablePerf.observablePlain,4259740
i.r.r.xmapz.FlowableFlatMapMaybeEmptyPerf.flowableConvert ,4214555
i.r.r.xmapz.FlowableSwitchMapMaybePerf.flowableConvert,4200000
i.r.r.core.XMapYPerf.flowFlatMapSingleAsFlow1 ,4174902
i.r.r.xmapz.FlowableSwitchMapMaybePerf.flowableConvert,4158000
i.r.r.core.XMapYPerf.flowFlatMapMaybeAsFlow0,4079229
i.r.r.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowableConvert ,4048385
i.r.r.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableConvert ,4027509
i.r.r.core.XMapYPerf.obsFlatMapIterableAsObs0 ,4000000
i.r.r.xmapz.FlowableSwitchMapMaybePerf.flowableConvert,4000000
i.r.r.xmapz.FlowableSwitchMapSinglePerf.flowableConvert  100000,4000000
i.r.r.xmapz.FlowableSwitchMapSinglePerf.flowableConvert ,4000000
i.r.r.xmapz.FlowableSwitchMapSinglePerf.flowableConvert  10,3997300
i.r.r.xmapz.FlowableSwitchMapSinglePerf.flowableConvert ,3977400
i.r.r.xmapz.FlowableSwitchMapSinglePerf.flowableConvert  1000,3960000
i.r.r.xmapz.FlowableSwitchMapMaybePerf.flowableConvert,3944400
i.r.r.core.BinaryFlatMapPerf.singleFlattenAsPublisher ,3923763
i.r.r.xmapz.FlowableFlatMapSinglePerf.flowableConvert ,3918540
i.r.r.xmapz.FlowableSwitchMapMaybePerf.flowableConvert,3900000
i.r.r.xmapz.FlowableSwitchMapMaybePerf.flowableConvert,3867100
i.r.r.xmapz.FlowableSwitchMapSinglePerf.flowableConvert ,3835039
i.r.r.core.XMapYPerf.flowFlatMapMaybeAsFlow1,3726661
i.r.r.xmapz.FlowableConcatMapMaybePerf.flowableConvert,3616186
i.r.r.xmapz.FlowableConcatMapSinglePerf.flowableConvert ,3613548
i.r.r.xmapz.FlowableSwitchMapMaybePerf.flowableConvert,3492129
i.r.r.xmapz.FlowableFlatMapMaybePerf.flowableConvert,3470878
i.r.r.core.XMapYPerf.obsFlatMapIterableAsObs0 ,3400000
i.r.r.core.XMapYPerf.obsFlatMapIterableAsObs0 ,3390000
i.r.r.core.XMapYPerf.obsFlatMapIterableAsObs0 ,3336000
i.r.r.core.XMapYPerf.obsFlatMapIterableAsObs0 ,3308900
i.r.r.core.XMapYPerf.obsFlatMapIterableAsObs0 ,3116430
i.r.r.core.XMapYPerf.flowFlatMapMaybe1,3000000
i.r.r.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableConvert ,3000000
i.r.r.xmapz.FlowableConcatMapMaybePerf.flowableConvert,3000000
i.r.r.xmapz.FlowableConcatMapSinglePerf.flowableConvert ,3000000
i.r.r.xmapz.FlowableFlatMapMaybePerf.flowableDedicated,3000000
i.r.r.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowableConvert ,3000000
i.r.r.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableConvert ,2920000
i.r.r.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableConvert  1000,2917000
i.r.r.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowableConvert  1000,2857000
i.r.r.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableConvert ,2852000
i.r.r.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowableConvert ,2830000
i.r.r.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowableConvert  100000,2800000
i.r.r.xmapz.FlowableFlatMapMaybePerf.flowableDedicated,2760000
i.r.r.core.XMapYPerf.flowFlatMapMaybe1,2755000
i.r.r.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowableConvert ,2750700
i.r.r.xmapz.FlowableFlatMapMaybePerf.flowableDedicated,2730000
i.r.r.core.XMapYPerf.flowFlatMapMaybe1,2700000
i.r.r.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableConvert  100000,2700000
i.r.r.xmapz.FlowableFlatMapMaybePerf.flowableDedicated,2700000
i.r.r.xmapz.FlowableFlatMapMaybePerf.flowableDedicated,2696700
i.r.r.core.XMapYPerf.flowFlatMapMaybe1,2690000
i.r.r.core.XMapYPerf.flowFlatMapMaybe1,2669700
i.r.r.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableConvert  10,2651880
i.r.r.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowableConvert  10,2532720
i.r.r.xmapz.FlowableConcatMapSinglePerf.flowableConvert ,2374300
i.r.r.xmapz.FlowableConcatMapSinglePerf.flowableConvert  1000,2371000
