i.r.r.core.BinaryFlatMapPerf.maybeFlatMapHidePublisher,74000000
i.r.r.core.BinaryFlatMapPerf.maybeFlatMapPublisher,73510000
i.r.r.core.BinaryFlatMapPerf.maybeFlatMapPublisher,72000000
i.r.r.core.BinaryFlatMapPerf.maybeFlatMapHidePublisher,59575000
i.r.r.core.BinaryFlatMapPerf.singleFlattenAsObservable,10326318
i.r.r.core.EachTypeFlatMapPerf.singleJust ,7285276
i.r.r.core.EachTypeFlatMapPerf.singleJust ,7260074
i.r.r.core.EachTypeFlatMapPerf.singleJust ,7045562
i.r.r.core.BlockingGetPerf.single ,6572189
i.r.r.core.OperatorMergePerf.oneStreamOfNthatMergesIn1,6000006
i.r.r.xmapz.ObservableConcatMapSinglePerf.observableDedicated ,6000000
i.r.r.xmapz.FlowableConcatMapSinglePerf.flowableDedicated  1000,5298000
i.r.r.xmapz.FlowableConcatMapSinglePerf.flowableDedicated ,5260000
i.r.r.xmapz.ObservableConcatMapSinglePerf.observableDedicated  1000,5094000
i.r.r.xmapz.FlowableConcatMapSinglePerf.flowableDedicated ,4943800
i.r.r.xmapz.ObservableConcatMapSinglePerf.observableDedicated ,4880000
i.r.r.xmapz.ObservableSwitchMapSinglePerf.observableDedicated ,4766863
i.r.r.xmapz.ObservableConcatMapSinglePerf.observableDedicated ,4689000
i.r.r.xmapz.ObservableConcatMapSinglePerf.observableDedicated ,4637582
i.r.r.xmapz.ObservableConcatMapSinglePerf.observableDedicated  100000,4400000
i.r.r.core.BinaryFlatMapPerf.singleFlatMapHideObservable,4333229
i.r.r.core.BinaryFlatMapPerf.maybeFlatMapPublisher,4222154
i.r.r.core.EachTypeFlatMapPerf.singleJustMapJust,4210884
i.r.r.core.EachTypeFlatMapPerf.singleJustMapJust,4112316
i.r.r.xmapz.ObservableConcatMapSinglePerf.observableDedicated  10,4090800
i.r.r.core.EachTypeFlatMapPerf.singleJustMapJust,4045282
i.r.r.xmapz.FlowableConcatMapSinglePerf.flowableDedicated ,4000000
i.r.r.xmapz.FlowableSwitchMapCompletablePerf.flowablePlain,4000000
i.r.r.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowablePlain ,4000000
i.r.r.core.OperatorMergePerf.oneStreamOfNthatMergesIn1,3844841
i.r.r.xmapz.FlowableSwitchMapCompletablePerf.flowablePlain,3814000
i.r.r.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowablePlain ,3800000
i.r.r.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowablePlain  1000,3790000
i.r.r.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowablePlain ,3711000
i.r.r.core.BinaryFlatMapPerf.maybeFlatMapHidePublisher,3664552
i.r.r.xmapz.FlowableSwitchMapCompletablePerf.flowablePlain,3620000
i.r.r.xmapz.FlowableSwitchMapCompletablePerf.flowablePlain,3600000
i.r.r.xmapz.FlowableConcatMapSinglePerf.flowableDedicated  10,3472440
i.r.r.core.BlockingPerf.observableBlockingLast,3449126
i.r.r.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowablePlain  100000,3400000
i.r.r.xmapz.FlowableSwitchMapCompletablePerf.flowablePlain,3359000
i.r.r.core.BlockingGetPerf.observableBlockingLast ,3310110
i.r.r.xmapz.FlowableConcatMapSinglePerf.flowableDedicated  100000,3200000
i.r.r.xmapz.FlowableSwitchMapCompletablePerf.flowablePlain,3048700
i.r.r.xmapz.ObservableSwitchMapSinglePerf.observableDedicated ,3000000
i.r.r.core.BinaryFlatMapPerf.singleFlatMapObservable,2967461
i.r.r.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowablePlain  10,2785560
i.r.r.xmapz.ObservableSwitchMapSinglePerf.observableDedicated ,2360000
i.r.r.core.BinaryFlatMapPerf.singleFlattenAsPublisher ,2207342
i.r.r.core.XMapYPerf.obsFlatMapSingleAsObs1 ,2204360
i.r.r.xmapz.ObservableSwitchMapSinglePerf.observableDedicated  100000,2200000
i.r.r.xmapz.ObservableSwitchMapSinglePerf.observableDedicated  1000,2134000
i.r.r.core.BinaryFlatMapPerf.singleFlatMapHidePublisher ,2105207
i.r.r.xmapz.FlowableFlatMapSinglePerf.flowableDedicated ,2000002
i.r.r.xmapz.FlowableConcatMapSinglePerf.flowableConvert ,2000000
i.r.r.xmapz.FlowableSwitchMapCompletablePerf.flowableConvert,2000000
i.r.r.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowableConvert ,2000000
i.r.r.xmapz.FlowableSwitchMapMaybePerf.flowablePlain,2000000
i.r.r.xmapz.FlowableSwitchMapSinglePerf.flowableConvert ,2000000
i.r.r.xmapz.FlowableSwitchMapSinglePerf.flowableDedicated ,2000000
i.r.r.xmapz.FlowableSwitchMapSinglePerf.flowablePlain ,2000000
i.r.r.xmapz.ObservableConcatMapSinglePerf.observableConvert ,2000000
i.r.r.xmapz.ObservableFlatMapSinglePerf.observableDedicated ,2000000
i.r.r.core.ToFlowablePerf.observable,1975062
i.r.r.xmapz.FlowableSwitchMapSinglePerf.flowableDedicated ,1880000
i.r.r.core.XMapYPerf.flowFlatMapSingleAsFlow1 ,1877914
i.r.r.xmapz.ObservableFlatMapSinglePerf.observableConvert ,1830383
i.r.r.xmapz.ObservableSwitchMapSinglePerf.observableDedicated ,1827700
i.r.r.xmapz.ObservableSwitchMapSinglePerf.observableConvert ,1826354
i.r.r.xmapz.FlowableSwitchMapSinglePerf.flowableDedicated  1000,1795000
i.r.r.xmapz.FlowableFlatMapSinglePerf.flowableConvert ,1715129
